"","detalle_modelo","glm","glm1","glm2","glm3","glm4","glm5","glm6","glm7","glm8","glm9","glm10","glm_tomek"
"1","tecnica","sin balanceo","oversampling","overampling","oversampling","oversampling","oversampling","oversampling","oversampling","oversampling","oversampling","oversampling","tomek link"
"2","K-vecinos","NA","5","5","5","5","5","10","10","10","10","10","NA"
"3","perc.over","NA","200","600","1500","1500","8000","200","600","1500","1500","8000","NA"
"4","Precision","0.883116883116883","0.825688073394495","0.808333333333333","0.707142857142857","0.368231046931408","0.233560090702948","0.828828828828829","0.801652892561983","0.697183098591549","0.360424028268551","0.235697940503432","0.85"
"5","Recall","0.566666666666667","0.75","0.808333333333333","0.825","0.85","0.858333333333333","0.766666666666667","0.808333333333333","0.825","0.85","0.858333333333333","0.566666666666667"
"6","F1","0.690355329949239","0.786026200873363","0.808333333333333","0.761538461538462","0.513853904282116","0.367201426024955","0.796536796536797","0.804979253112033","0.755725190839695","0.506203473945409","0.36983842010772","0.68"
